T_Cells,CD3D
T_Cells,CD3E
T_Cells,CD3G
T_Cells,CD6
T_Cells,CD96
T_Cells,GIMAP5
T_Cells,ITM2A
T_Cells,LCK
T_Cells,NCALD
T_Cells,PRKCQ
T_Cells,SH2D1A
T_Cells,SKAP1
T_Cells,TRA
T_Cells,TRAC
T_Cells,TRAT1
T_Cells,TRBC1
T_Helper_Cells,ANP32B
T_Helper_Cells,ASF1A
T_Helper_Cells,ATF2
T_Helper_Cells,BATF
T_Helper_Cells,BORA
T_Helper_Cells,CD28
T_Helper_Cells,DDX50
T_Helper_Cells,FAM111A
T_Helper_Cells,FRYL
T_Helper_Cells,GOLGA8A
T_Helper_Cells,ICOS
T_Helper_Cells,ITM2A
T_Helper_Cells,LRBA
T_Helper_Cells,NAP1L4
T_Helper_Cells,NUP107
T_Helper_Cells,PHF10
T_Helper_Cells,PPP2R5C
T_Helper_Cells,RPA1
T_Helper_Cells,SEC24C
T_Helper_Cells,SLC25A12
T_Helper_Cells,SRSF10
T_Helper_Cells,TRA
T_Helper_Cells,UBE2L3
T_Helper_Cells,YME1L1
Tcm_Cells,AQP3
Tcm_Cells,ATF7IP
Tcm_Cells,ATM
Tcm_Cells,CASP8
Tcm_Cells,CDC14A
Tcm_Cells,CEP68
Tcm_Cells,CLUAP1
Tcm_Cells,CREBZF
Tcm_Cells,CYLD
Tcm_Cells,DOCK9
Tcm_Cells,FAM153B
Tcm_Cells,FOXP1
Tcm_Cells,FYB1
Tcm_Cells,HNRNPH1
Tcm_Cells,INPP4B
Tcm_Cells,KLF12
Tcm_Cells,LOC441155
Tcm_Cells,MAP3K1
Tcm_Cells,KMT2A
Tcm_Cells,N4BP2L2-IT2
Tcm_Cells,NEFL
Tcm_Cells,NFATC3
Tcm_Cells,PCM1
Tcm_Cells,PCNX1
Tcm_Cells,PDXDC2P
Tcm_Cells,PHC3
Tcm_Cells,POLR2J2
Tcm_Cells,PSPC1
Tcm_Cells,REPS1
Tcm_Cells,RPP38
Tcm_Cells,SLC7A6
Tcm_Cells,SNRPN
Tcm_Cells,ST3GAL1
Tcm_Cells,STX16
Tcm_Cells,TIMM8A
Tcm_Cells,TRAF3IP3
Tcm_Cells,TXK
Tcm_Cells,TXLNGY
Tcm_Cells,USP9Y
Tem_Cells,AKT3
Tem_Cells,SND1-IT1
Tem_Cells,CCR2
Tem_Cells,DDX17
Tem_Cells,EWSR1
Tem_Cells,FLI1
Tem_Cells,GDPD5
Tem_Cells,LTK
Tem_Cells,MEFV
Tem_Cells,NFATC4
Tem_Cells,PRKY
Tem_Cells,TBC1D5
Tem_Cells,TBCD
Tem_Cells,TRA
Tem_Cells,EZR
Tfh_Cells,B3GAT1
Tfh_Cells,CXCR5
Tfh_Cells,LDLRAD4
Tfh_Cells,CDK5R1
Tfh_Cells,CHGB
Tfh_Cells,CHI3L2
Tfh_Cells,CXCL13
Tfh_Cells,HEY1
Tfh_Cells,H4C12
Tfh_Cells,ICA1
Tfh_Cells,KCNK5
Tfh_Cells,KIAA1324
Tfh_Cells,MAF
Tfh_Cells,MAGEH1
Tfh_Cells,MRTFB
Tfh_Cells,MYO6
Tfh_Cells,MYO7A
Tfh_Cells,PASK
Tfh_Cells,PDCD1
Tfh_Cells,POMT1
Tfh_Cells,PTPN13
Tfh_Cells,PVALB
Tfh_Cells,SH3TC1
Tfh_Cells,SIRPG
Tfh_Cells,SLC7A10
Tfh_Cells,SMAD1
Tfh_Cells,ST8SIA1
Tfh_Cells,STK39
Tfh_Cells,THADA
Tfh_Cells,TOX
Tfh_Cells,TSHR
Tfh_Cells,ZNF764
Tgd_Cells,C1orf61
Tgd_Cells,CD160
Tgd_Cells,FEZ1
Tgd_Cells,TARP
Tgd_Cells,TRD
Tgd_Cells,TRGV9
Th1_Cells,APBB2
Th1_Cells,APOD
Th1_Cells,ATP9A
Th1_Cells,BST2
Th1_Cells,BTG3
Th1_Cells,CCL4
Th1_Cells,CD38
Th1_Cells,CD70
Th1_Cells,CMAHP
Th1_Cells,CSF2
Th1_Cells,CTLA4
Th1_Cells,DGKI
Th1_Cells,DOK5
Th1_Cells,DPP4
Th1_Cells,DUSP5
Th1_Cells,EGFL6
Th1_Cells,GGT1
Th1_Cells,HBEGF
Th1_Cells,IFNG
Th1_Cells,IL12RB2
Th1_Cells,IL22
Th1_Cells,LRP8
Th1_Cells,LRRN3
Th1_Cells,LTA
Th1_Cells,SGCB
Th1_Cells,SYNGR3
Th1_Cells,ZBTB32
Th17_Cells,IL17A
Th17_Cells,IL17RA
Th17_Cells,RORC
Th2_Cells,ADCY1
Th2_Cells,AHI1
Th2_Cells,ANK1
Th2_Cells,BIRC5
Th2_Cells,CDC25C
Th2_Cells,CDC7
Th2_Cells,CENPF
Th2_Cells,CXCR6
Th2_Cells,DHFR
Th2_Cells,EVI5
Th2_Cells,GATA3
Th2_Cells,GSTA4
Th2_Cells,HELLS
Th2_Cells,IL26
Th2_Cells,LAIR2
Th2_Cells,LIMA1
Th2_Cells,MB
Th2_Cells,MICAL2
Th2_Cells,NEIL3
Th2_Cells,PHEX
Th2_Cells,PMCH
Th2_Cells,PTGIS
Th2_Cells,SLC39A14
Th2_Cells,SMAD2
Th2_Cells,SNRPD1
Th2_Cells,WDHD1
Treg_Cells,FOXP3
Angiogenesis,CDH5
Angiogenesis,ADGRL4
Angiogenesis,CLEC14A
Angiogenesis,LDB2
Angiogenesis,ECSCR
Angiogenesis,MYCT1
Angiogenesis,RHOJ
Angiogenesis,VWF
Angiogenesis,TIE1
Angiogenesis,KDR
Angiogenesis,ESAM
Angiogenesis,PTPRB
Angiogenesis,ADGRF5
Angiogenesis,SPARCL1
Angiogenesis,EMCN
Angiogenesis,ROBO4
Angiogenesis,ENG
Angiogenesis,TEK
Angiogenesis,S1PR1
Angiogenesis,A2M
Angiogenesis,JAM2
Angiogenesis,COL15A1
Angiogenesis,PECAM1
Angiogenesis,CALCRL
Angiogenesis,CLEC3B
Angiogenesis,PLVAP
Angiogenesis,RGS5
Angiogenesis,LRRC32
Angiogenesis,EBF1
Angiogenesis,ADCY4
Angiogenesis,ACVRL1
Angiogenesis,ADGRA2
Angiogenesis,APLNR
Angiogenesis,TM4SF18
Angiogenesis,GNG11
Angiogenesis,CNRIP1
Angiogenesis,ZNF423
Angiogenesis,GIMAP8
Angiogenesis,PDGFD
Angiogenesis,ITGA9
Angiogenesis,EDNRB
Antigen_Presenting,HLA-A
Antigen_Presenting,HLA-B
Antigen_Presenting,HLA-C
Antigen_Presenting,B2M
Antigen_Presenting,TAP1
Antigen_Presenting,TAP2
Antigen_Presenting,TAPBP
